Opportunity.Id,Opportunity.Days.To.Close,Opportunity.Status,Industry,partnerFlag,PPG,Area,Opportunity.Size,Fee.Type,Deal.Type,Segment,Solution.Area,ClusteredArea,Standard.Offering.Type,Discount_percentage,Time-Period
7-N7QXYOIUU,120,Lost,Retailers,No Partner,O365 Cloud Productivity,United States,"634,527",FF,3,Strategic Enterprise,Modern Workplace,North America,Custom,29,P-10
7-NEWW35FQV,276,Won,National Government,No Partner,Dynamics 365 Customer Engagement,MEA,"790,510",Mixed,2,Public Sector Enterprise,Business Applications,MEA,Custom,35,P-23
7-LCUEW4MPI,144,Won,National Government,Partner,Dynamics 365 Customer Engagement,MEA,"829,622",T&M,4,Public Sector Enterprise,Business Applications,MEA,Custom,31,P-12
7-M3TFRGA7M,409,Lost,National Government,No Partner,On Prem Productivity,Western Europe,"426,545",T&M,3,Public Sector Enterprise,Modern Workplace,Europe,Custom,43,P-18
7-NXVV3NSWN,184,Lost,Higher Education,No Partner,O365 Cloud Productivity,United States,"884,458",T&M,3,Public Sector Enterprise,Modern Workplace,North America,Custom,31,P-18
7-PA56Z4Q3B,161,Lost,Travel & Transportation,Partner,Dynamics On Prem CRM,MEA,"565,935",FF,1,Public Sector Enterprise,Business Applications,MEA,Custom,3,P-9
7-PKVJRXIBS,223,Lost,Banking & Capital Markets,No Partner,Dynamics 365 Customer Engagement,MEA,"354,582",T&M,4,Commercial Enterprise,Business Applications,MEA,Custom,5,P-22
7-NJK45VK6O,410,Won,National Government,No Partner,Azure Data & AI,UK,"834,222",FF,4,Public Sector Enterprise,Data & AI,Europe,Mixed Custom/SO/MSO,7,P-23
7-OMH4U7U6V,210,Won,Partner Professional Services,No Partner,Dynamics 365 Customer Engagement,MEA,"728,932",Mixed,1,Strategic Public Sector,Business Applications,MEA,Custom,86,P-11
7-MJTCKOD4S,79,Lost,Partner Professional Services,No Partner,Dynamics On Prem CRM,MEA,"415,444",FF,2,Strategic Public Sector,Business Applications,MEA,Custom,65,P-24
7-LGVFRMH4D,86,Lost,Chemicals & Agrochemicals,No Partner,O365 Cloud Productivity,Western Europe,"623,069",T&M,5,Strategic Enterprise,Modern Workplace,Europe,Custom,3,P-26
7-PFRL672IJ,96,Lost,Discrete Manufacturing,No Partner,Azure and Edge Apps,Greater China,"232,087",FF,2,Strategic Enterprise,Applications & Infrastructure,APAC,Mixed Custom/SO/MSO,41,P-6
